route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
580,0000000662023061020230910,0003888322023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888332023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888342023061020230910,Costa Capolinea,1,D466_R5610b_Ritorno_sub1,1
580,0000000592023061020230910,0003888352023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888362023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888372023061020230910,Costa Capolinea,1,D469_R5628b_Ritorno_sub2,1
580,0000000592023061020230910,0003888382023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888392023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888402023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888412023061020230910,Costa Capolinea,1,D466_R5610b_Ritorno_sub1,1
580,0000000592023061020230910,0003888422023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888432023061020230910,Costa Capolinea,1,D466_R5610b_Ritorno_sub1,1
580,0000000592023061020230910,0003888442023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888452023061020230910,Costa Capolinea,1,D466_R5610b_Ritorno_sub1,1
580,0000000662023061020230910,0003888492023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000662023061020230910,0003888502023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888512023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888522023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888532023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
